Song	~High PP	Difficulty	★	#	Multi	~Actual PP	Total	Comments
 g a r d e n (Short Ver.) - DM DOKURO	130.66	Expert	3.26★	202	0.00075	0.0979		
 El Sonidito - Hechizeros Band	130.64	Expert	3.27★	203	0.00072	0.0944		
 Nunchaku - Fantasy	130.61	Expert	3.27★	204	0.00070	0.0911		
 IGNITE - Aoi Eir	130.45	Expert	3.21★	205	0.00067	0.0878		
 Jordan - King Of Eurobeat - 	130.32	Expert	3.11★	206	0.00065	0.0847		
 Huo Yuanjia - Jay Chou	129.39	Expert+	3.26★	207	0.00063	0.0811		
 Pumped up Kicks - Foster The People	129.39	Expert+	2.99★	208	0.00060	0.0783		
 The Top ( Initial D) - Ken Blast	129.32	Expert	3.24★	209	0.00058	0.0755		
 Boulevard of Broken Dreams - Green Day	129.09	Expert	3.2★	210	0.00056	0.0727		
 Cliffs Of Dover - [WIP] (GH3)	129.08	Expert+	3.25★	211	0.00054	0.0702		
 Ride On Shooting Star - by The Pillows	128.95	Expert	3.22★	212	0.00052	0.0676		
 BTH 4 - So Fabulous!! - (Charted by M.Rappold)	128.88	Expert+	3.22★	213	0.00051	0.0652		
 Lachryma Re:Queen’M - Kanekochiharu	128.85	Expert+	3.07★	214	0.00049	0.0629		
 Ai Kotoba III - DECO*27 ft. Hatsune Miku 	128.46	Expert	3.15★	215	0.00047	0.0606		
 Adieu, to this Lively Graveyard - Stack Bros.	128.44	Expert	3.14★	216	0.00045	0.0584		
 The Diary of Jane - 	128.43	Expert	3.23★	217	0.00044	0.0564		
 Blood Hunter - Varien	127.93	Expert+	3.07★	218	0.00042	0.0542		
 Closer - 	127.92	Expert	2.79★	219	0.00041	0.0523		
 Swiggity - IZECOLD	127.87	Expert	3.2★	220	0.00039	0.0504		
 Epic - Tokyo Machine	127.86	Expert+	3.08★	221	0.00038	0.0487		
 We Like to Party - 	127.82	Expert	3.25★	222	0.00037	0.0470		
 Hyadain no Kakata Katamoi-C - (Nichijou OP1) by Hyadain	127.71	Expert	3.2★	223	0.00035	0.0453		
 Dyscontrolled Galaxy  - Chart by Mystikmol	127.68	Expert+	3.25★	224	0.00034	0.0437		
 Dark Sun - Keltek	127.67	Expert	2.63★	225	0.00033	0.0421		
 Real Or Fake - ShinRa-Bansho	127.51	Expert	3.18★	226	0.00032	0.0406		
 Forbidden - S3RL ft Avanna [Vocaloid]	127.24	Expert	3.04★	227	0.00031	0.0391		
 The Lovely,Freezing,Tomboyish Bath, Cirno's Hot Spring - 	127.23	Expert+	3.05★	228	0.00030	0.0377		
 Greenlights Serenade  - Omoi ft. Hatsune Miku	127.12	Expert	3.17★	229	0.00029	0.0364		
 BLOODRED - D-selections	127.02	Expert	3.17★	230	0.00028	0.0351		
 Monochrome Butterfly - Aitsuki Nakuru	126.88	Expert+	3.06★	231	0.00027	0.0338		
 Okay - Shiba San	126.61	Expert+	3.17★	232	0.00026	0.0326		
 Game Time - 3LAU, feat. NINJA	126.30	Expert+	3.15★	233	0.00025	0.0314		
 Lone Digger - 	126.24	Expert	3.08★	234	0.00024	0.0302		
 Maware! Setsuketsuka - Unbreakable Machine Doll	126.12	Hard	3.15★	235	0.00023	0.0292		
 No No No - TheFatRat	126.07	Expert	3.01★	236	0.00022	0.0281		
 Taiyou Paradise - nao	126.03	Expert+	3.16★	237	0.00022	0.0271		
 Zennihon Ofuroka Keikaku (All Japan Bathing Plan) - Nanahira	125.85	Expert	3.03★	238	0.00021	0.0261		
 Rockefeller Street (Nightcore) - Getter Jaani	125.84	Hard	3.04★	239	0.00020	0.0252		
 Bulletproof - 	125.80	Expert	3.15★	240	0.00019	0.0243		
 Flat Zone 2 - Kenichi Okuma	125.72	Expert+	3.14★	241	0.00019	0.0235		
 Mine (Win and Woo Remix) - Phoebe Ryan	125.64	Expert	3.17★	242	0.00018	0.0226		
 Highscore - 	125.55	Expert	3.05★	243	0.00017	0.0218		
 No, Thank you! - K-On	125.37	Expert+	3.02★	244	0.00017	0.0210		
 Burn My Dread (Short Ver.) - Persona 3 OST	125.13	Expert+	3.12★	245	0.00016	0.0203		
 Flower Dance - 	125.03	Expert	3.03★	246	0.00016	0.0195		
 LUV U NEED U - Slushii	124.99	Expert	3.06★	247	0.00015	0.0188		
 Twisted - Hopsin	124.98	Expert	3.06★	248	0.00015	0.0182		
 Crush - Pendulum	124.82	Expert	3.08★	249	0.00014	0.0175		
 Baby's On Fire - Die Antwoord	124.70	Expert	2.99★	250	0.00014	0.0169		
 Suiryuu no Rokku - Natsuko Nisshoku	124.57	Expert	3.03★	251	0.00013	0.0163		
 Final Bowser Theme [Electro Cover] - Super Mario 64	124.50	Expert	3.04★	252	0.00013	0.0157		
 One Punch Man Openinng Theme - Charted by OmALY 04	124.41	Expert	3.01★	253	0.00012	0.0151		
 Bring Back The Summer - Rain Man	124.39	Expert	3.04★	254	0.00012	0.0146		
 Tao Ngoi - 	124.37	Expert	3.01★	255	0.00011	0.0141		
 Yotsuya-san ni Yoroshiku - 	124.27	Expert	2.92★	256	0.00011	0.0136		
 Crush (Goshfather & Jinco x JayKode Edition) (Feat. Lauryn Vyce) - Jennifer Paige	124.11	Expert	3.05★	257	0.00011	0.0131		
 Luv Letter - 	124.01	Expert	3.01★	258	0.00010	0.0126		
 Unhappy Refrain - ft. Hatsune Miku	123.80	Expert	2.96★	259	0.00010	0.0122		
 future gazer - 	123.73	Expert+	3.11★	260	0.00009	0.0117		
 Hatsune Miku - Senbonzakura (Frontliner Remix) - 	123.69	Expert	3.02★	261	0.00009	0.0113		
 California Gurls - Katy Perry	123.63	Hard	3.02★	262	0.00009	0.0109		
 Strong and Strike - map by Felix	123.59	Expert	3.09★	263	0.00009	0.0105		
 Song Of Storms - Ephixa	123.53	Expert	2.98★	264	0.00008	0.0102		
 Our Wrenally - Chart by Kizuflux	123.50	Hard	3.09★	265	0.00008	0.0098		
 A New Frontier - VA-11 HALL-A	123.42	Expert	2.89★	266	0.00008	0.0095		
 Death by Glamour - by Toby Fox	123.37	Expert	3.08★	267	0.00007	0.0091		
 My Hero Academia Opening 1 - NateWantsToBattle	123.26	Expert+	3.08★	268	0.00007	0.0088		
 Mayday (feat. Laura Brehm) - TheFatRat	123.26	Expert	3.09★	269	0.00007	0.0085		
 California Gurls - Katy Perry	123.19	Expert	3.03★	270	0.00007	0.0082		
 Escape - Netsky feat. darrison	123.18	Expert	3.08★	271	0.00006	0.0079		
 Escape - Netsky feat. darrison	123.18	Expert	3.08★	272	0.00006	0.0076		
 Soldiers - Otherwise	123.15	Expert+	3.08★	273	0.00006	0.0074		
 Six Trillion Years and Overnight Story - Roselia	123.06	Hard	3.07★	274	0.00006	0.0071		
 tengoku jigoku daijigoku - 	122.85	Expert	3.03★	275	0.00006	0.0068		
 SHINY DAYS (TVSize) - 	122.74	Expert	3.03★	276	0.00005	0.0066		
 Martin - Animals	122.69	Expert+	2.97★	277	0.00005	0.0064		
 Don't Stop Push It Now (Squad-E Remix) - Dan Winter	122.52	Expert	2.96★	278	0.00005	0.0061		
 level One - Dj Striden	122.32	Expert	3★	279	0.00005	0.0059		
 One More Time - Berlin Child	122.21	Expert	3.07★	280	0.00005	0.0057		
 Doomsday - KILLY	122.04	Expert+	3.11★	281	0.00004	0.0055		
 I Apologize - Five Finger Death Punch	121.98	Expert+	3.06★	282	0.00004	0.0053		
 Hu Hua Shi Zhe - 	121.89	Expert+	2.98★	283	0.00004	0.0051		
 Redo - Suzuki Konomi	121.54	Expert	3.03★	284	0.00004	0.0049		
 JoJo's BA - Opening 1	121.49	Expert	3.03★	285	0.00004	0.0047		
 Crack Traxxxx - Chart by Mystikmol	121.46	Hard	2.85★	286	0.00004	0.0046		
 Sono gunjo-ga ito-shikatta youdatta - from CHUNITHM	121.43	Hard	2.89★	287	0.00004	0.0044		
 Utai IV_ Reawakening (Steve Aoki Remix) - Steve Aoki Remix	121.36	Expert	3.05★	288	0.00003	0.0042		
 Colourful - Kamome Sano	121.33	Expert	2.91★	289	0.00003	0.0041		
 California Gurls - Katy Perry	121.22	Normal	3.02★	290	0.00003	0.0039		
 7th Element - Vitas	121.18	Expert	2.65★	291	0.00003	0.0038		
