 SHINY DAYS (TVSize) - 	120.6	Expert	3.03★	344-202
 Suiryuu no Rokku - Natsuko Nisshoku	120.59	Expert	3.03★	685-448
 Redo - Suzuki Konomi	120.56	Expert	3.03★	1603-1131
 Jumping All Over The World - Scooter	120.44	Expert	2.89★	1522-1068
 Insane Techniques - kors k	120.3	Expert	3.02★	
 Cold Green Eyes ft. Roos Denayer - Station Earth	120.19	Expert	3.07★	904-605
 Your Best Nightmare - Undertale	120.12	Expert+	3.14★	1198-825
 Struggle - 	120.09	Expert	3.02★	2524-1752
 Baby's On Fire - Die Antwoord	120	Expert	2.99★	1892-1314
 Digimon - Butterfly - Digimon	119.92	Expert	3.01★	2693-1881
 I Knew You Were Trouble - Taylor Swift	119.91	Expert	3.17★	3439-2516
 Qubism - Chart by Moriik	119.88	Expert	2.86★	3108-2209
 Kickstart My Heart - Motley Crue - 	119.81	Expert	2.85★	2477-1716
 Dummy! - Undertale OST	119.76	Expert	2.47★	5825-5290
 Bring Back The Summer - Rain Man	119.74	Expert	3.04★	3039-2156
 Nico and the Niners - Twenty One Pilots	119.7	Expert	2.86★	3358-2426
 MF   - AWOLNATION	119.64	Expert	3.02★	641-412
 Chop Chop - 	119.63	Expert	2.59★	3040-2157
 What You Know - Two Door Cinema Club	119.61	Expert+	2.92★	1107-756
 Higher Ground - TNGHT	119.53	Expert	3.09★	1704-1196
 Nitro Fun & Hyper Potions - Checkpoint - 	119.4	Expert+	3.22★	1569-1103
 Heads Will Roll (Jaydon Lewis Remix) - Yeah Yeah Yeahs	119.33	Expert+	3★	5788-5252
 Final Bowser Theme [Electro Cover] - Super Mario 64	119.27	Expert	3.04★	425-252
 Pumped up Kicks - Foster The People	119.24	Expert+	2.99★	976-657
 future gazer - 	119.18	Expert+	3.11★	3388-2460
 It's Not My Time - 3 Doors Down	119.13	Expert	2.98★	3128-2221
 Witch Doctor (Ooh Eeh Ooh Ah Aah Ting Tang Walla Walla Bing Bang) - The Cartoons	119.02	Expert+	3★	2554-1774
 Tank! (Ben Briggs Remix) - Cowboy Bebop	119.01	Expert	2.91★	1643-1162
 Colourful - Kamome Sano	118.94	Expert	2.91★	5881-5355
 BTH2 - Stars - (Charted by M.Rappold)	118.93	Expert	2.95★	1829-1267
 Sunset - from Deemo	118.93	Hard	2.98★	804-531
 Lachryma Re:Queen’M - Kanekochiharu	118.92	Expert+	3.07★	2482-1719
 Popcorn  - METAL version	118.92	Hard	2.99★	809-533
 JoJo's BA - Opening 3	118.88	Hard	2.99★	537-337
 Turn The Freakin' Frogs Gay - 	118.8	Hard	3.01★	1533-1077
 NOW - Thats What I Call B.S. VOL.1	118.7	Expert	2.97★	1873-1299
 That Person's Name Is / Boss Battle - Bravely Default	118.58	Expert	2.98★	1854-1287
 Rock da Juice - The Dude	118.53	Expert+	2.98★	1948-1355
 Alone  - 	118.33	Expert+	2.85★	
 Burnt Rice - Shawn Wasabi	118.17	Expert	2.89★	576-366
 Martin - Animals	118.15	Expert+	2.97★	2066-1433
 Hu Hua Shi Zhe - 	118.13	Expert+	2.98★	1888-1310
 Flamingo - Kero Kero Bonito	117.95	Expert	2.94★	518-322
 BTH 3 - Freefall VIP - (Charted by M.Rappold)	117.93	Expert+	2.9★	2263-1569
 Narcissistic Cannibal - Ft. Skrillex and Kill The Noise	117.87	Expert+	2.96★	755-496
 A New Frontier - VA-11 HALL-A	117.86	Expert	2.89★	3053-2167
 7 -Seven- - FLOW, GRANRODEO	117.84	Expert	2.96★	1543-1084
 Outbreak - Mediks	117.81	Expert	2.99★	791-522
 Cure For The Itch - 	117.71	Expert	2.96★	278-167
 Indestructible - Disturbed	117.61	Hard	2.86★	3126-2219
 Freestyler - Bomfunk MC	117.52	Expert	2.95★	2951-2092
 The Nobodies - modded by Tzahrkiya	117.52	Expert	2.84★	2449-1693
 Rise - Skillet	117.48	Expert	2.95★	3104-2207
 Scar Your Face (Operation Zero Remix) - The Prophet Ft Headhunterz	117.29	Expert+	2.89★	
